epoch,settlement_height,block_time,node_version_observed,node_git_commit_observed,tx_count_at_height,gov_tx_count_at_height,rpc_block_results_status,gov_event_count_in_rpc_block_results,gov_event_amount_gnk_in_rpc_block_results,gov_event_amount_components_gnk,gov_event_memos_in_rpc_block_results,evidence_note
265,4105641,2026-05-16T20:54:59.944502465Z,v0.2.13,c716df26cb8802e341a007f79b445352c53a3bee,1,0,200,1,99367459.994521,99367459.994521,,RPC block_results contains gov coin_received EndBlock events
266,4121032,2026-05-17T18:41:25.157888503Z,v0.2.13,c716df26cb8802e341a007f79b445352c53a3bee,0,0,200,3,26427696.577043,23623554.076719 + 1759749.687948 + 1044392.812376,,RPC block_results contains gov coin_received EndBlock events
