epoch,source_compensation_gonka,actual_rewarded_gonka,burned_gonka,undistributed_remainder_gonka,difference,notes
265,,185565043.741173,0.000000,99367459.994517,,no source claim rows loaded
266,,261173638.858560,0.000000,23623554.076714,,no source claim rows loaded
