epoch,epoch_start_height,epoch_start_time_utc,epoch_last_height,poc_start_block_height,poc_start_time_utc,participants_total,final_group_count,rewarded_count,zero_reward_count,kimi_participants,qwen_participants,total_model_memberships,kimi_entry_weight,qwen_entry_weight,total_entry_weight,kimi_confirmed_node_weight,kimi_preserved_node_weight,qwen_confirmed_node_weight,qwen_preserved_node_weight,data_basis
265,4090370,2026-05-15T23:22:59.307709486Z,4105760,4089970,2026-05-15T22:48:39.749969021Z,53,51,37,16,20,41,61,377276,1227899,1605175,336641,40635,1106344,121555,epoch_group_data + epoch_summary + model weight snapshot
266,4105761,2026-05-16T21:05:03.752208771Z,4121151,4105361,2026-05-16T20:31:35.236757476Z,48,46,38,10,8,40,48,59933,886097,946030,16235,43698,802093,84004,epoch_group_data + epoch_summary + model weight snapshot
