epoch,checkpoint,cpoc_sequence,height,time_utc_seconds,kimi_entry_weight,qwen_entry_weight,model_entry_weight_total,kimi_active,qwen_active,model_memberships_total,participants_union_total,kimi_passed,qwen_passed,passed_union_total,kimi_failed,qwen_failed,failed_union_total,kimi_confirmed_weight,qwen_confirmed_weight,confirmed_weight_union_total,kimi_delta,qwen_delta,confirmed_weight_union_delta,kimi_passed_delta,qwen_passed_delta,passed_union_delta,kimi_failed_delta,qwen_failed_delta,failed_union_delta,data_basis
265,epoch_entry,,4090370,2026-05-15T23:22:59Z,377276,1227899,1605175,20,41,61,51,20,41,51,0,0,0,640858,740929,917306,,,,,,,,,,model subgroup membership + parent epoch_group_data confirmation_weight; union totals de-duplicate shared model participants
265,after_cpoc_0,0,4095963,2026-05-16T07:18:59Z,377276,1227899,1605175,20,41,61,51,15,38,43,5,3,8,487205,624122,739681,-153653,-116807,-177625,-5,-3,-8,5,3,8,model subgroup membership + parent epoch_group_data confirmation_weight; union totals de-duplicate shared model participants
265,after_cpoc_1,1,4099160,2026-05-16T11:49:56Z,377276,1227899,1605175,20,41,61,51,15,38,43,5,3,8,469669,612369,720517,-17536,-11753,-19164,0,0,0,0,0,0,model subgroup membership + parent epoch_group_data confirmation_weight; union totals de-duplicate shared model participants
265,after_cpoc_2,2,4103171,2026-05-16T17:29:07Z,377276,1227899,1605175,20,41,61,51,14,37,41,6,4,10,375972,508838,609918,-93697,-103531,-110599,-1,-1,-2,1,1,2,model subgroup membership + parent epoch_group_data confirmation_weight; union totals de-duplicate shared model participants
266,epoch_entry,,4105761,2026-05-16T21:05:03Z,59933,886097,946030,8,40,48,45,8,40,45,0,0,0,115164,334904,393991,,,,,,,,,,model subgroup membership + parent epoch_group_data confirmation_weight; union totals de-duplicate shared model participants
266,after_cpoc_0,0,4115375,2026-05-17T10:41:34Z,59933,886097,946030,8,40,48,45,8,34,39,0,6,6,115022,317276,376221,-142,-17628,-17770,0,-6,-6,0,6,6,model subgroup membership + parent epoch_group_data confirmation_weight; union totals de-duplicate shared model participants
266,after_cpoc_1,1,4117265,2026-05-17T13:21:54Z,59933,886097,946030,8,40,48,45,8,33,38,0,7,7,113940,313238,371996,-1082,-4038,-4225,0,-1,-1,0,1,1,model subgroup membership + parent epoch_group_data confirmation_weight; union totals de-duplicate shared model participants
266,after_cpoc_2,2,4118384,2026-05-17T14:56:50Z,59933,886097,946030,8,40,48,45,8,33,38,0,7,7,111574,312409,369530,-2366,-829,-2466,0,0,0,0,0,0,model subgroup membership + parent epoch_group_data confirmation_weight; union totals de-duplicate shared model participants
